Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,Unnamed: 13_level_0,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,Unnamed: 20_level_0,% of FG Ast'd,% of FG Ast'd,Unnamed: 23_level_0,Dunks,Dunks,Unnamed: 26_level_0,Layups,Layups,Unnamed: 29_level_0,Corner,Corner
Rk,Team,G,MP,FG%,Dist.,Unnamed: 6_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 13_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 20_level_1,2P,3P,Unnamed: 23_level_1,%FGA,Md.,Unnamed: 26_level_1,%FGA,Md.,Unnamed: 29_level_1,%3PA,3P%
1.0,Atlanta Hawks,47,11330,0.477,13.9,,0.584,0.271,0.179,0.094,0.04,0.416,,0.562,0.697,0.451,0.461,0.379,0.357,,0.545,0.852,,0.057,212,,0.284,710,,0.246,0.387
2.0,Boston Celtics,44,10610,0.446,15.3,,0.549,0.166,0.238,0.095,0.05,0.451,,0.515,0.687,0.461,0.403,0.414,0.362,,0.531,0.887,,0.045,156,,0.259,525,,0.221,0.383
3.0,Brooklyn Nets,43,10395,0.488,13.4,,0.609,0.271,0.212,0.083,0.043,0.391,,0.557,0.708,0.454,0.43,0.356,0.381,,0.56,0.895,,0.077,255,,0.279,593,,0.273,0.439
4.0,Chicago Bulls,44,10610,0.473,13.6,,0.6,0.288,0.183,0.078,0.051,0.4,,0.544,0.684,0.404,0.452,0.396,0.368,,0.529,0.851,,0.066,245,,0.272,632,,0.26,0.385
5.0,Charlotte Hornets,45,10875,0.477,14.0,,0.598,0.25,0.212,0.088,0.048,0.402,,0.55,0.7,0.436,0.483,0.392,0.369,,0.555,0.833,,0.059,195,,0.266,622,,0.201,0.4
6.0,Cleveland Cavaliers,46,11090,0.465,14.3,,0.587,0.257,0.176,0.098,0.056,0.413,,0.524,0.655,0.407,0.47,0.383,0.381,,0.53,0.89,,0.051,187,,0.258,588,,0.24,0.419
7.0,Dallas Mavericks,45,10925,0.463,13.4,,0.619,0.246,0.224,0.102,0.046,0.381,,0.545,0.702,0.453,0.442,0.383,0.329,,0.536,0.822,,0.061,224,,0.283,680,,0.263,0.329
8.0,Denver Nuggets,46,11140,0.468,14.4,,0.588,0.217,0.209,0.106,0.056,0.412,,0.551,0.736,0.475,0.409,0.386,0.35,,0.528,0.864,,0.055,210,,0.258,640,,0.272,0.386
9.0,Detroit Pistons,43,10370,0.44,14.7,,0.573,0.167,0.28,0.078,0.048,0.427,,0.51,0.658,0.457,0.465,0.374,0.346,,0.483,0.85,,0.053,159,,0.263,488,,0.238,0.358
10.0,Golden State Warriors,46,11090,0.472,14.2,,0.599,0.199,0.253,0.095,0.053,0.401,,0.552,0.724,0.471,0.491,0.406,0.352,,0.534,0.867,,0.061,220,,0.271,634,,0.24,0.396
11.0,Houston Rockets,43,10495,0.463,14.4,,0.597,0.204,0.228,0.108,0.057,0.403,,0.539,0.696,0.495,0.415,0.387,0.351,,0.504,0.826,,0.067,209,,0.261,562,,0.21,0.381
12.0,Indiana Pacers,46,11090,0.483,13.7,,0.625,0.229,0.238,0.101,0.056,0.375,,0.569,0.698,0.497,0.511,0.449,0.341,,0.5,0.823,,0.06,216,,0.287,691,,0.242,0.398
13.0,Los Angeles Clippers,44,10635,0.47,14.7,,0.58,0.199,0.233,0.093,0.055,0.42,,0.544,0.707,0.463,0.496,0.377,0.367,,0.531,0.844,,0.06,200,,0.244,536,,0.23,0.366
14.0,Los Angeles Lakers,43,10320,0.486,14.5,,0.582,0.223,0.204,0.103,0.052,0.418,,0.569,0.757,0.469,0.42,0.447,0.372,,0.554,0.841,,0.061,211,,0.258,593,,0.261,0.373
15.0,Memphis Grizzlies,43,10370,0.462,14.7,,0.561,0.208,0.214,0.093,0.046,0.439,,0.544,0.722,0.424,0.46,0.459,0.358,,0.526,0.853,,0.056,189,,0.244,540,,0.239,0.387
16.0,Miami Heat,45,10825,0.464,14.5,,0.568,0.227,0.212,0.088,0.042,0.432,,0.549,0.707,0.479,0.42,0.326,0.351,,0.533,0.825,,0.052,200,,0.261,656,,0.23,0.391
17.0,Milwaukee Bucks,44,10610,0.467,14.8,,0.565,0.236,0.178,0.108,0.043,0.435,,0.546,0.721,0.41,0.431,0.44,0.366,,0.552,0.868,,0.054,186,,0.258,570,,0.225,0.398
18.0,Minnesota Timberwolves,45,10875,0.463,13.7,,0.612,0.248,0.204,0.109,0.051,0.388,,0.529,0.664,0.438,0.456,0.395,0.358,,0.526,0.854,,0.062,215,,0.27,582,,0.236,0.391
19.0,New Orleans Pelicans,47,11380,0.486,14.4,,0.55,0.265,0.175,0.075,0.035,0.45,,0.588,0.724,0.481,0.44,0.404,0.361,,0.547,0.861,,0.072,279,,0.269,680,,0.261,0.371
20.0,New York Knicks,44,10560,0.465,14.8,,0.55,0.244,0.167,0.087,0.051,0.45,,0.54,0.661,0.46,0.422,0.421,0.373,,0.496,0.839,,0.054,187,,0.247,526,,0.252,0.38
21.0,Oklahoma City Thunder,46,11165,0.432,15.0,,0.56,0.2,0.202,0.104,0.053,0.44,,0.479,0.642,0.39,0.385,0.394,0.373,,0.515,0.877,,0.048,162,,0.232,463,,0.281,0.392
22.0,Orlando Magic,43,10395,0.478,13.7,,0.622,0.221,0.247,0.101,0.053,0.378,,0.548,0.702,0.466,0.487,0.403,0.363,,0.507,0.844,,0.058,192,,0.28,591,,0.233,0.395
23.0,Philadelphia 76ers,43,10520,0.465,14.0,,0.599,0.275,0.168,0.089,0.066,0.401,,0.543,0.685,0.414,0.437,0.426,0.348,,0.57,0.862,,0.07,239,,0.271,575,,0.249,0.381
24.0,Phoenix Suns,45,10825,0.468,14.4,,0.591,0.237,0.195,0.104,0.055,0.409,,0.55,0.698,0.457,0.468,0.398,0.35,,0.503,0.866,,0.061,219,,0.263,566,,0.252,0.387
25.0,Portland Trail Blazers,46,11090,0.473,14.1,,0.602,0.231,0.199,0.113,0.059,0.398,,0.555,0.696,0.478,0.468,0.435,0.348,,0.529,0.875,,0.065,235,,0.245,587,,0.281,0.38
26.0,Sacramento Kings,46,11115,0.49,14.3,,0.6,0.171,0.289,0.091,0.049,0.4,,0.582,0.756,0.554,0.456,0.38,0.35,,0.528,0.849,,0.068,259,,0.276,687,,0.245,0.34
27.0,San Antonio Spurs,45,10825,0.46,14.5,,0.589,0.23,0.179,0.123,0.057,0.411,,0.529,0.678,0.417,0.463,0.417,0.361,,0.547,0.843,,0.052,187,,0.239,537,,0.267,0.355
28.0,Toronto Raptors,47,11380,0.462,14.6,,0.572,0.257,0.17,0.086,0.059,0.428,,0.551,0.683,0.476,0.432,0.363,0.344,,0.502,0.851,,0.059,211,,0.26,613,,0.233,0.368
29.0,Utah Jazz,45,10950,0.494,15.2,,0.547,0.164,0.248,0.09,0.045,0.453,,0.592,0.747,0.549,0.507,0.43,0.377,,0.566,0.877,,0.069,266,,0.234,591,,0.242,0.413
30.0,Washington Wizards,43,10370,0.475,14.3,,0.587,0.242,0.217,0.08,0.048,0.413,,0.554,0.729,0.434,0.408,0.461,0.363,,0.539,0.887,,0.08,283,,0.274,593,,0.227,0.407
,League Average,45,10808,0.469,14.3,,0.585,0.228,0.211,0.096,0.051,0.415,,0.547,0.7,0.461,0.45,0.403,0.359,,0.531,0.856,,0.06,214,,0.262,595,,0.245,0.384
